URL,80,443
https://manager.next.airbnb.com,,X,
http://manager.next.airbnb.com,X,,
https://nweb1.next.airbnb.com,,X,
http://nweb1.next.airbnb.com,X,,
http://donat.p2p.next.airbnb.com,X,,
https://protools.airbnb.com,,X,
http://sip.next.airbnb.com,X,,
https://sip.next.airbnb.com,,X,
http://support-api.airbnb.com,X,,
https://support-api.airbnb.com,,X,
